trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
327-Summer,15:28:00,15:28:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
327-Summer,15:35:00,15:35:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7020
327-Summer,15:43:00,15:43:00,26C502B2E36D484DA6376618E6600DAF,4,,,,13638
327-Summer,15:54:00,15:54:00,F94650F367DD4D28AB4648C95746AFA6,5,,,,24857
327-Summer,16:02:00,16:02:00,7E1B4F506A5B47B7A2C858934721BE5A,6,,,,31721
327-Summer,16:08:00,16:08:00,9500D42D80744F9499D42D654CA522E6,7,,,,35377
327-Summer,16:22:00,16:22:00,A0F9D1776F1A485A9E1A06A3C1261782,8,,,,50193
327-Summer,16:29:00,16:29:00,64C983C0E74E491488B298F46879C65A,9,,,,53632
327-Summer,16:39:00,16:39:00,1555D7C62D784D6B9F2AD871999E0098,10,,,,59037
328-Summer,06:16:00,06:16:00,1555D7C62D784D6B9F2AD871999E0098,1,,,,0
328-Summer,06:24:00,06:24:00,64C983C0E74E491488B298F46879C65A,2,,,,5405
328-Summer,06:30:00,06:30:00,A0F9D1776F1A485A9E1A06A3C1261782,3,,,,8844
328-Summer,06:44:00,06:44:00,9500D42D80744F9499D42D654CA522E6,4,,,,23660
328-Summer,06:49:00,06:49:00,7E1B4F506A5B47B7A2C858934721BE5A,5,,,,27316
328-Summer,06:57:00,06:57:00,F94650F367DD4D28AB4648C95746AFA6,6,,,,34180
328-Summer,07:10:00,07:10:00,26C502B2E36D484DA6376618E6600DAF,7,,,,45399
328-Summer,07:19:00,07:19:00,8E0AECA660E44BA39BDF374FF1D09F96,8,,,,52017
328-Summer,07:27:00,07:27:00,BC30329248DF4E6E8A114C0822124408,9,,,,56113
328-Summer,07:35:00,07:35:00,C9C9EEB6CE1A46C3BD0901F3F225933E,10,,,,59037
329-Summer,16:10:00,16:10:00,C9C9EEB6CE1A46C3BD0901F3F225933E,1,,,,0
329-Summer,16:18:00,16:18:00,BC30329248DF4E6E8A114C0822124408,2,,,,2924
329-Summer,16:25:00,16:25:00,8E0AECA660E44BA39BDF374FF1D09F96,3,,,,7020
