,stop_name,6313 (Barrie),6314 (Barrie),6315 (Barrie),6316 (Barrie),6317 (Barrie),6318 (Barrie),6322 (Barrie),6329 (Barrie),6331 (Barrie),6332 (Barrie),6333 (Barrie),6334 (Barrie),6504 (Barrie),6521 (Barrie),6606 (Barrie),6608 (Barrie),6627 (Barrie),6727 (Barrie),6806 (Barrie),6808 (Barrie),6825 (Barrie),6908 (Barrie),6910 (Barrie),6911 (Barrie),6912 (Barrie),6919 (Barrie),6920 (Barrie),6923 (Barrie),6927 (Barrie),6935 (Barrie),6936 (Barrie),6937 (Barrie),3009 (Kitchener),3011 (Kitchener),3015 (Kitchener),3017 (Kitchener),3019 (Kitchener),3021 (Kitchener),3023 (Kitchener),3025 (Kitchener),3031 (Kitchener),3033 (Kitchener),3035 (Kitchener),3037 (Kitchener),3108 (Kitchener),3110 (Kitchener),3126 (Kitchener),3128 (Kitchener),3205 (Kitchener),3207 (Kitchener),3209 (Kitchener),3227 (Kitchener),3308 (Kitchener),3310 (Kitchener),3312 (Kitchener),3316 (Kitchener),3318 (Kitchener),3320 (Kitchener),3322 (Kitchener),3328 (Kitchener),3332 (Kitchener),3334 (Kitchener),3336 (Kitchener),3338 (Kitchener),3414 (Kitchener),3416 (Kitchener),3420 (Kitchener),3422 (Kitchener),3432 (Kitchener),3434 (Kitchener),3513 (Kitchener),3515 (Kitchener),3519 (Kitchener),3521 (Kitchener),3529 (Kitchener),3531 (Kitchener),3533 (Kitchener),3539 (Kitchener),3604 (Kitchener),3606 (Kitchener),3625 (Kitchener),3627 (Kitchener),3812 (Kitchener),3818 (Kitchener),3824 (Kitchener),3829 (Kitchener),3836 (Kitchener),3858 (Kitchener),3860 (Kitchener),3875 (Kitchener),3877 (Kitchener),3904 (Kitchener),3906 (Kitchener),3911 (Kitchener),3917 (Kitchener),3923 (Kitchener),3935 (Kitchener),3937 (Kitchener),3958 (Kitchener),3960 (Kitchener),3975 (Kitchener),3977 (Kitchener),9004 (Lakeshore East),9005 (Lakeshore East),9006 (Lakeshore East),9007 (Lakeshore East),9008 (Lakeshore East),9009 (Lakeshore East),9010 (Lakeshore East),9011 (Lakeshore East),9013 (Lakeshore East),9015 (Lakeshore East),9017 (Lakeshore East),9019 (Lakeshore East),9021 (Lakeshore East),9023 (Lakeshore East),9024 (Lakeshore East),9025 (Lakeshore East),9026 (Lakeshore East),9027 (Lakeshore East),9029 (Lakeshore East),9031 (Lakeshore East),9032 (Lakeshore East),9033 (Lakeshore East),9035 (Lakeshore East),9037 (Lakeshore East),9039 (Lakeshore East),9041 (Lakeshore East),9109 (Lakeshore East),9112 (Lakeshore East),9114 (Lakeshore East),9116 (Lakeshore East),9118 (Lakeshore East),9120 (Lakeshore East),9122 (Lakeshore East),9124 (Lakeshore East),9126 (Lakeshore East),9128 (Lakeshore East),9130 (Lakeshore East),9134 (Lakeshore East),9136 (Lakeshore East),9138 (Lakeshore East),9140 (Lakeshore East),9204 (Lakeshore East),9205 (Lakeshore East),9206 (Lakeshore East),9207 (Lakeshore East),9208 (Lakeshore East),9209 (Lakeshore East),9211 (Lakeshore East),9213 (Lakeshore East),9215 (Lakeshore East),9217 (Lakeshore East),9219 (Lakeshore East),9221 (Lakeshore East),9223 (Lakeshore East),9224 (Lakeshore East),9225 (Lakeshore East),9226 (Lakeshore East),9227 (Lakeshore East),9229 (Lakeshore East),9231 (Lakeshore East),9233 (Lakeshore East),9235 (Lakeshore East),9237 (Lakeshore East),9239 (Lakeshore East),9241 (Lakeshore East),9307 (Lakeshore East),9309 (Lakeshore East),9310 (Lakeshore East),9312 (Lakeshore East),9314 (Lakeshore East),9316 (Lakeshore East),9318 (Lakeshore East),9320 (Lakeshore East),9322 (Lakeshore East),9324 (Lakeshore East),9326 (Lakeshore East),9328 (Lakeshore East),9330 (Lakeshore East),9332 (Lakeshore East),9334 (Lakeshore East),9336 (Lakeshore East),9338 (Lakeshore East),9340 (Lakeshore East),1004 (Lakeshore West),1005 (Lakeshore West),1006 (Lakeshore West),1007 (Lakeshore West),1009 (Lakeshore West),1011 (Lakeshore West),1012 (Lakeshore West),1013 (Lakeshore West),1014 (Lakeshore West),1015 (Lakeshore West),1016 (Lakeshore West),1017 (Lakeshore West),1018 (Lakeshore West),1019 (Lakeshore West),1020 (Lakeshore West),1021 (Lakeshore West),1022 (Lakeshore West),1023 (Lakeshore West),1024 (Lakeshore West),1026 (Lakeshore West),1028 (Lakeshore West),1029 (Lakeshore West),1030 (Lakeshore West),1031 (Lakeshore West),1032 (Lakeshore West),1033 (Lakeshore West),1034 (Lakeshore West),1035 (Lakeshore West),1036 (Lakeshore West),1037 (Lakeshore West),1038 (Lakeshore West),1039 (Lakeshore West),1040 (Lakeshore West),1041 (Lakeshore West),1075 (Lakeshore West),1077 (Lakeshore West),1108 (Lakeshore West),1110 (Lakeshore West),1125 (Lakeshore West),1127 (Lakeshore West),1256 (Lakeshore West),1258 (Lakeshore West),1306 (Lakeshore West),1308 (Lakeshore West),1310 (Lakeshore West),1323 (Lakeshore West),1325 (Lakeshore West),1327 (Lakeshore West),1704 (Lakeshore West),1705 (Lakeshore West),1707 (Lakeshore West),1709 (Lakeshore West),1710 (Lakeshore West),1711 (Lakeshore West),1712 (Lakeshore West),1713 (Lakeshore West),1714 (Lakeshore West),1715 (Lakeshore West),1716 (Lakeshore West),1717 (Lakeshore West),1718 (Lakeshore West),1719 (Lakeshore West),1720 (Lakeshore West),1721 (Lakeshore West),1722 (Lakeshore West),1724 (Lakeshore West),1726 (Lakeshore West),1727 (Lakeshore West),1728 (Lakeshore West),1729 (Lakeshore West),1730 (Lakeshore West),1731 (Lakeshore West),1732 (Lakeshore West),1733 (Lakeshore West),1734 (Lakeshore West),1735 (Lakeshore West),1736 (Lakeshore West),1737 (Lakeshore West),1738 (Lakeshore West),1739 (Lakeshore West),1740 (Lakeshore West),1741 (Lakeshore West),1756 (Lakeshore West),1758 (Lakeshore West),1775 (Lakeshore West),1777 (Lakeshore West),1854 (Lakeshore West),1856 (Lakeshore West),1858 (Lakeshore West),1860 (Lakeshore West),1873 (Lakeshore West),1875 (Lakeshore West),1877 (Lakeshore West),1879 (Lakeshore West),1960 (Lakeshore West),1961 (Lakeshore West),1972 (Lakeshore West),1977 (Lakeshore West),1988 (Lakeshore West),X1987 (Lakeshore West),2706 (Milton),2710 (Milton),2712 (Milton),2714 (Milton),2716 (Milton),2718 (Milton),2720 (Milton),2722 (Milton),2723 (Milton),2724 (Milton),2726 (Milton),2727 (Milton),2729 (Milton),2731 (Milton),2735 (Milton),2737 (Milton),2739 (Milton),2741 (Milton),2745 (Milton),2749 (Milton),5006 (Richmond Hill),5008 (Richmond Hill),5010 (Richmond Hill),5127 (Richmond Hill),5208 (Richmond Hill),5323 (Richmond Hill),5325 (Richmond Hill),5327 (Richmond Hill),5329 (Richmond Hill),7410 (Stouffville),7412 (Stouffville),7414 (Stouffville),7415 (Stouffville),7416 (Stouffville),7417 (Stouffville),7418 (Stouffville),7419 (Stouffville),7420 (Stouffville),7421 (Stouffville),7423 (Stouffville),7425 (Stouffville),7428 (Stouffville),7430 (Stouffville),7432 (Stouffville),7433 (Stouffville),7434 (Stouffville),7435 (Stouffville),7436 (Stouffville),7437 (Stouffville),7439 (Stouffville),7622 (Stouffville),7624 (Stouffville),7626 (Stouffville),7638 (Stouffville),7640 (Stouffville),7705 (Stouffville),7707 (Stouffville),7709 (Stouffville),7711 (Stouffville),7713 (Stouffville),7824 (Stouffville),7826 (Stouffville),7907 (Stouffville),7909 (Stouffville)
53,Burlington GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:59:00 (7),07:10:00 (28),05:59:00 (7),08:17:00 (28),09:17:00 (28),10:18:00 (28),09:13:00 (7),11:18:00 (28),10:13:00 (7),12:18:00 (28),11:13:00 (7),13:18:00 (28),12:13:00 (7),14:18:00 (28),13:13:00 (7),15:18:00 (28),14:13:00 (7),16:18:00 (28),15:13:00 (7),16:14:00 (7),17:10:00 (7),19:19:00 (28),18:11:00 (7),20:19:00 (28),19:12:00 (7),21:19:00 (28),20:12:00 (7),22:19:00 (28),21:12:00 (7),23:19:00 (28),22:12:00 (7),24:19:00 (28),23:12:00 (7),25:19:00 (28),17:21:00 (28),18:21:00 (28),,,,,06:56:00 (7),07:56:00 (7),,,,,,,05:29:00 (14),07:40:00 (28),08:47:00 (28),09:48:00 (28),08:43:00 (14),10:48:00 (28),09:43:00 (14),11:48:00 (28),10:43:00 (14),12:48:00 (28),11:43:00 (14),13:48:00 (28),12:43:00 (14),14:48:00 (28),13:43:00 (14),15:48:00 (28),14:43:00 (14),15:44:00 (14),16:42:00 (14),18:49:00 (28),17:42:00 (14),19:49:00 (28),18:42:00 (14),20:49:00 (28),19:42:00 (14),21:49:00 (28),20:42:00 (14),22:49:00 (28),21:42:00 (14),23:49:00 (28),22:42:00 (14),24:49:00 (28),23:43:00 (14),25:49:00 (28),06:26:00 (14),07:27:00 (14),16:50:00 (28),17:50:00 (28),06:11:00 (16),06:41:00 (16),07:11:00 (16),07:41:00 (16),16:42:00 (28),17:12:00 (28),17:42:00 (28),18:42:00 (28),08:13:00 (32),09:56:00 (28),14:37:00 (30),18:12:00 (28),22:38:00 (30),23:12:00 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Brampton Innovation District GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:46:00 (4),11:48:00 (4),13:48:00 (4),14:48:00 (4),19:48:00 (4),20:48:00 (4),11:16:00 (21),12:17:00 (21),14:17:00 (21),15:17:00 (21),19:17:00 (21),20:17:00 (21),21:17:00 (21),24:17:00 (21),05:46:00 (9),06:46:00 (9),17:17:00 (21),17:47:00 (21),09:45:00 (21),12:48:00 (21),15:48:00 (21),18:47:00 (21),21:48:00 (21),07:39:00 (21),08:39:00 (21),16:54:00 (21),17:54:00 (21),06:16:00 (21),07:16:00 (21),10:16:00 (21),13:17:00 (21),16:17:00 (21),22:17:00 (21),23:17:00 (21),08:09:00 (21),09:09:00 (21),17:24:00 (21),18:28:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bronte GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:11:00 (11),06:58:00 (24),06:11:00 (11),08:04:00 (24),09:04:00 (24),10:05:00 (24),09:25:00 (11),11:05:00 (24),10:25:00 (11),12:05:00 (24),11:25:00 (11),13:05:00 (24),12:25:00 (11),14:05:00 (24),13:25:00 (11),15:05:00 (24),14:25:00 (11),16:05:00 (24),15:25:00 (11),16:26:00 (11),17:24:00 (11),19:06:00 (24),18:23:00 (11),20:06:00 (24),19:24:00 (11),21:06:00 (24),20:24:00 (11),22:06:00 (24),21:24:00 (11),23:06:00 (24),22:24:00 (11),24:06:00 (24),23:24:00 (11),25:06:00 (24),17:08:00 (24),18:08:00 (24),,,,,07:08:00 (11),08:08:00 (11),,,,,,,05:41:00 (18),07:28:00 (24),08:34:00 (24),09:35:00 (24),08:55:00 (18),10:35:00 (24),09:55:00 (18),11:35:00 (24),10:55:00 (18),12:35:00 (24),11:55:00 (18),13:35:00 (24),12:55:00 (18),14:35:00 (24),13:55:00 (18),15:35:00 (24),14:55:00 (18),15:56:00 (18),16:54:00 (18),18:36:00 (24),17:54:00 (18),19:36:00 (24),18:54:00 (18),20:36:00 (24),19:54:00 (18),21:36:00 (24),20:54:00 (18),22:36:00 (24),21:54:00 (18),23:36:00 (24),22:54:00 (18),24:36:00 (24),23:55:00 (18),25:37:00 (24),06:38:00 (18),07:39:00 (18),16:37:00 (24),17:37:00 (24),06:23:00 (20),06:53:00 (20),07:23:00 (20),07:53:00 (20),16:29:00 (24),16:59:00 (24),17:29:00 (24),18:29:00 (24),08:25:00 (36),,,17:59:00 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bloomington GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:55:00 (1),06:55:00 (1),07:55:00 (1),18:21:00 (29),07:25:00 (1),16:51:00 (29),17:51:00 (29),18:51:00 (29),19:51:00 (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bloor GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:14:00 (8),09:14:00 (8),11:14:00 (8),12:14:00 (8),13:14:00 (8),14:14:00 (8),15:14:00 (8),16:14:00 (8),19:14:00 (8),20:14:00 (8),21:14:00 (8),22:14:00 (8),08:17:00 (11),09:17:00 (11),16:50:00 (11),17:50:00 (11),06:44:00 (8),07:44:00 (8),08:44:00 (8),17:44:00 (8),08:47:00 (11),09:47:00 (11),10:47:00 (11),12:47:00 (11),13:47:00 (11),14:47:00 (11),15:47:00 (11),18:47:00 (11),20:47:00 (11),21:47:00 (11),22:47:00 (11),23:47:00 (11),11:17:00 (17),12:17:00 (17),14:17:00 (17),15:17:00 (17),20:17:00 (17),21:17:00 (17),10:43:00 (8),11:44:00 (8),13:44:00 (8),14:44:00 (8),18:44:00 (8),19:44:00 (8),20:44:00 (8),23:44:00 (8),06:17:00 (22),07:17:00 (22),16:44:00 (8),17:14:00 (8),10:16:00 (34),13:17:00 (34),16:17:00 (34),18:14:00 (8),22:17:00 (34),,,,,06:47:00 (34),07:47:00 (34),09:43:00 (8),12:44:00 (8),15:44:00 (8),21:44:00 (8),22:44:00 (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Bramalea GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:40:00 (18),09:40:00 (18),11:40:00 (18),12:40:00 (18),13:40:00 (18),14:40:00 (18),15:40:00 (18),16:40:00 (18),19:40:00 (18),20:40:00 (18),21:40:00 (18),22:40:00 (18),07:52:00 (1),08:52:00 (1),16:25:00 (1),17:25:00 (1),07:10:00 (18),08:10:00 (18),09:10:00 (18),18:10:00 (18),08:22:00 (1),09:22:00 (1),10:22:00 (1),12:22:00 (1),13:22:00 (1),14:22:00 (1),15:22:00 (1),18:24:00 (1),20:22:00 (1),21:22:00 (1),22:22:00 (1),23:22:00 (1),10:54:00 (7),11:56:00 (7),13:56:00 (7),14:56:00 (7),19:56:00 (7),20:56:00 (7),11:08:00 (18),12:09:00 (18),14:09:00 (18),15:09:00 (18),19:09:00 (18),20:09:00 (18),21:09:00 (18),24:09:00 (18),05:54:00 (12),06:54:00 (12),17:09:00 (18),17:39:00 (18),09:53:00 (24),12:56:00 (24),15:56:00 (24),18:39:00 (18),21:56:00 (24),07:47:00 (24),08:47:00 (24),16:46:00 (18),17:46:00 (18),06:24:00 (24),07:24:00 (24),10:08:00 (18),13:09:00 (18),16:09:00 (18),22:09:00 (18),23:09:00 (18),08:17:00 (24),09:17:00 (24),17:16:00 (18),18:20:00 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Bradford GO,,,,,,,,,,,,,05:18:00 (1),16:16:00 (28),05:46:00 (8),06:46:00 (8),18:25:00 (28),18:40:00 (28),06:16:00 (8),07:16:00 (8),17:55:00 (28),07:31:00 (8),08:31:00 (8),11:07:00 (28),09:31:00 (8),15:14:00 (28),13:37:00 (8),17:10:00 (28),19:10:00 (28),23:14:00 (28),21:39:00 (8),24:08:00 (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Barrie South GO,,,,,,,,,,,,,,,05:25:00 (5),06:25:00 (5),18:46:00 (31),19:01:00 (31),05:55:00 (5),06:55:00 (5),18:16:00 (31),07:10:00 (5),08:10:00 (5),11:28:00 (31),09:10:00 (5),15:35:00 (31),13:16:00 (5),17:31:00 (31),19:31:00 (31),23:35:00 (31),21:18:00 (5),24:29:00 (31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Aurora GO,11:45:00 (22),10:57:00 (1),12:44:00 (22),11:55:00 (1),13:44:00 (22),12:55:00 (1),15:04:00 (1),19:44:00 (22),20:44:00 (22),19:55:00 (1),21:44:00 (22),20:55:00 (1),05:41:00 (7),15:55:00 (22),06:09:00 (14),07:09:00 (14),18:03:00 (22),18:18:00 (22),06:39:00 (14),07:39:00 (14),17:33:00 (22),07:54:00 (14),08:54:00 (14),10:44:00 (22),09:54:00 (14),14:51:00 (22),14:01:00 (14),16:48:00 (22),18:48:00 (22),22:52:00 (22),22:02:00 (14),23:46:00 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Appleby GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05:05:00 (9),07:04:00 (26),06:05:00 (9),08:10:00 (26),09:10:00 (26),10:11:00 (26),09:19:00 (9),11:11:00 (26),10:19:00 (9),12:11:00 (26),11:19:00 (9),13:11:00 (26),12:19:00 (9),14:11:00 (26),13:19:00 (9),15:11:00 (26),14:19:00 (9),16:11:00 (26),15:19:00 (9),16:20:00 (9),17:17:00 (9),19:12:00 (26),18:17:00 (9),20:12:00 (26),19:18:00 (9),21:12:00 (26),20:18:00 (9),22:12:00 (26),21:18:00 (9),23:12:00 (26),22:18:00 (9),24:12:00 (26),23:18:00 (9),25:12:00 (26),17:14:00 (26),18:14:00 (26),,,,,07:02:00 (9),08:02:00 (9),,,,,,,05:35:00 (16),07:34:00 (26),08:40:00 (26),09:41:00 (26),08:49:00 (16),10:41:00 (26),09:49:00 (16),11:41:00 (26),10:49:00 (16),12:41:00 (26),11:49:00 (16),13:41:00 (26),12:49:00 (16),14:41:00 (26),13:49:00 (16),15:41:00 (26),14:49:00 (16),15:50:00 (16),16:48:00 (16),18:42:00 (26),17:48:00 (16),19:42:00 (26),18:48:00 (16),20:42:00 (26),19:48:00 (16),21:42:00 (26),20:48:00 (16),22:42:00 (26),21:48:00 (16),23:42:00 (26),22:48:00 (16),24:42:00 (26),23:49:00 (16),25:43:00 (26),06:32:00 (16),07:33:00 (16),16:43:00 (26),17:43:00 (26),06:17:00 (18),06:47:00 (18),07:17:00 (18),07:47:00 (18),16:35:00 (26),17:05:00 (26),17:35:00 (26),18:35:00 (26),08:19:00 (34),,,18:05:00 (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Aldershot GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:52:00 (1),07:18:00 (34),05:52:00 (1),08:25:00 (34),09:25:00 (34),10:26:00 (34),09:06:00 (1),11:26:00 (34),10:06:00 (1),12:26:00 (34),11:06:00 (1),13:26:00 (34),12:06:00 (1),14:26:00 (34),13:06:00 (1),15:26:00 (34),14:06:00 (1),16:26:00 (34),15:06:00 (1),16:07:00 (1),17:03:00 (1),19:27:00 (34),18:03:00 (1),20:27:00 (34),19:05:00 (1),21:27:00 (34),20:05:00 (1),22:27:00 (34),21:05:00 (1),23:27:00 (34),22:05:00 (1),24:27:00 (34),23:05:00 (1),25:27:00 (34),17:29:00 (34),18:29:00 (34),,,,,06:49:00 (1),07:49:00 (1),,,,,,,05:23:00 (8),07:47:00 (34),08:54:00 (34),09:55:00 (34),08:37:00 (8),10:55:00 (34),09:37:00 (8),11:55:00 (34),10:37:00 (8),12:55:00 (34),11:37:00 (8),13:55:00 (34),12:37:00 (8),14:55:00 (34),13:37:00 (8),15:55:00 (34),14:37:00 (8),15:38:00 (8),16:35:00 (8),18:56:00 (34),17:35:00 (8),19:56:00 (34),18:36:00 (8),20:56:00 (34),19:36:00 (8),21:56:00 (34),20:36:00 (8),22:56:00 (34),21:36:00 (8),23:56:00 (34),22:36:00 (8),24:56:00 (34),23:37:00 (8),25:56:00 (34),06:20:00 (8),07:21:00 (8),16:57:00 (34),17:57:00 (34),06:04:00 (10),06:34:00 (10),07:04:00 (10),07:34:00 (10),16:49:00 (34),17:19:00 (34),17:49:00 (34),18:49:00 (34),08:07:00 (26),10:03:00 (34),14:30:00 (24),18:19:00 (34),22:30:00 (24),23:19:00 (34),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ajax GO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:52:00 (21),05:18:00 (8),07:52:00 (21),06:23:00 (8),08:56:00 (21),07:23:00 (8),09:52:00 (21),08:23:00 (8),09:23:00 (8),10:23:00 (8),11:23:00 (8),12:23:00 (8),13:23:00 (8),14:23:00 (8),16:52:00 (21),15:23:00 (8),17:52:00 (21),16:23:00 (8),17:23:00 (8),18:23:00 (8),21:07:00 (21),19:23:00 (8),20:23:00 (8),21:23:00 (8),22:23:00 (8),23:23:00 (8),07:38:00 (8),11:07:00 (21),12:07:00 (21),13:07:00 (21),14:07:00 (21),15:07:00 (21),16:07:00 (21),17:07:00 (21),18:07:00 (21),19:07:00 (21),20:07:00 (21),22:07:00 (21),23:07:00 (21),24:07:00 (21),25:07:00 (21),07:22:00 (21),05:48:00 (8),08:26:00 (21),06:53:00 (8),09:26:00 (21),07:53:00 (8),08:53:00 (8),09:53:00 (8),10:53:00 (8),11:53:00 (8),12:53:00 (8),13:53:00 (8),14:53:00 (8),17:22:00 (21),15:53:00 (8),18:22:00 (21),16:53:00 (8),17:53:00 (8),18:53:00 (8),19:53:00 (8),20:53:00 (8),21:53:00 (8),22:53:00 (8),23:52:00 (8),07:08:00 (8),08:08:00 (8),10:37:00 (21),11:37:00 (21),12:37:00 (21),13:37:00 (21),14:37:00 (21),15:37:00 (21),16:37:00 (21),17:37:00 (21),18:37:00 (21),19:37:00 (21),20:37:00 (21),21:37:00 (21),22:37:00 (21),23:37:00 (21),24:37:00 (21),25:40:00 (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
