from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246067524606792+1124551+0,246067624606762+1123372+0,1,
33,33,,,246069724607005+1124552+0,246067924608125+1123368+0,1,
33,33,,,246072524607283+1124552+0,246072524607273+1123373+0,1,
33,33,,,246066724606747+1124555+0,246066724606747+1124116+0,1,
33,33,,,246067024606703+1124556+0,246067024606703+1124117+0,1,
33,33,,,246068024608136+1124558+0,246068024608136+1124119+0,1,
33,33,,,246069624606961+1124636+0,246068324608112+1123445+0,1,
33,33,,,246066824606724+1124638+0,246066824606714+1123388+0,1,
33,33,,,246067824606784+1124640+0,246067824606784+1123392+0,1,
33,33,,,246068224606924+1124640+0,246068224606924+1123392+0,1,
33,33,,,246071024607202+1124640+0,246070324607202+1123392+0,1,
33,33,,,246071024607204+1124640+0,246070324607204+1123392+0,1,
33,33,,,246073124608111+1124640+0,246073124608111+1123392+0,1,
33,33,,,246073124608112+1124640+0,246073124608112+1123392+0,1,
33,33,,,246069724607064+1124641+0,246069724606994+1123392+0,1,
33,33,,,246067524606751+1124650+0,246067524606751+1123403+0,1,
33,33,,,246068224606921+1124652+0,246068224606921+1123405+0,1,
33,33,,,246071024607202+1124652+0,246070324607202+1123405+0,1,
33,33,,,246071024607203+1124652+0,246070324607203+1123405+0,1,
33,33,,,246072524607273+1124652+0,246072524607273+1123405+0,1,
33,33,,,246069724607063+1124653+0,246070324607203+1123405+0,1,
33,33,,,246069724607064+1124653+0,246070324607204+1123405+0,1,
33,33,,,246070324607031+1124654+0,246070324607201+1123405+0,1,
33,33,,,246066824606722+1124656+0,246066924606722+1123411+0,1,
33,33,,,246072524607284+1124657+0,246072524607274+1123415+0,1,
33,33,,,246073124608122+1124657+0,246073124608112+1123415+0,1,
33,33,,,246067524606795+1124666+0,246067924608125+1123423+0,1,
33,33,,,246068224606924+1124667+0,246068224606924+1123427+0,1,
33,33,,,246072524607273+1124667+0,246072524607273+1123427+0,1,
33,33,,,246073124608114+1124667+0,246073124608114+1123427+0,1,
33,33,,,246069724607003+1124679+0,246068324608114+1123445+0,1,
33,33,,,246069724607004+1124679+0,246067924608125+1123438+0,1,
33,33,,,246070324607215+1124680+0,246070824607226+1124221+0,1,
33,33,,,246073024608077+1127061+0,246073024608077+1126897+0,1,
33,33,,,246072324607237+1127093+0,246072324607237+1126924+0,1,
33,33,,,246066624606666+1127106+0,246066624606736+1126926+0,1,
33,33,,,246067324606736+1127109+0,246066624606736+1126926+0,1,
33,33,,,246068124606887+1127112+0,246068124606887+1126931+0,1,
33,33,,,246069524606957+1127113+0,246069524606957+1126932+0,1,
33,33,,,246072324607237+1127113+0,246072324607237+1126932+0,1,
33,33,,,246072424607241+1127114+0,246072424607241+1126933+0,1,
33,33,,,246068024608136+1127140+0,246068024608136+1123894+0,1,
33,33,,,246070224607167+1127141+0,246070224607167+1123895+0,1,
33,33,,,246072424607241+1127143+0,246072424607241+1123897+0,1,
33,33,,,246066724606747+1127154+0,246066724606747+1126959+0,1,
33,33,,,246068024608136+1127158+0,246068024608136+1126962+0,1,
33,33,,,246072324607237+1127179+0,246072324607237+1123992+0,1,
33,33,,,246070224607167+1127181+0,246070224607167+1123991+0,1,
33,33,,,246067324606736+1127195+0,246066624606736+1124049+0,1,
33,33,,,246067724606773+1127215+0,246067724606773+1127003+0,1,
33,33,,,246067024606703+1127240+0,246067024606703+1127037+0,1,
33,33,,,246070224607167+1127245+0,246070224607167+1127042+0,1,
33,33,,,246072324607237+1127246+0,246072324607237+1127043+0,1,
33,33,,,246067524606762+1123456+0,246067524606792+1122990+1,1,
33,33,,,246072524607284+1123457+0,246072524607274+1122992+1,1,
33,33,,,246072524607285+1123457+0,246068624608125+1122990+1,1,
33,33,,,246067824606784+1123466+1,246067524606794+1123009+1,1,
33,33,,,246068224606924+1123466+1,246068224606934+1123009+1,1,
33,33,,,246067524606791+1123477+1,246067524606791+1123015+1,1,
33,33,,,246067524606792+1123477+1,246067524606792+1123015+1,1,
33,33,,,246068224606934+1123477+1,246068224606924+1123017+1,1,
33,33,,,246069724607003+1123477+1,246069724606993+1123017+1,1,
33,33,,,246072524607283+1123477+1,246072524607273+1123017+1,1,
33,33,,,246073124608125+1123477+1,246068624608125+1123023+1,1,
33,33,,,246066524606655+1123485+1,246066524606655+1123033+1,1,
33,33,,,246070324607202+1123490+1,246070324607212+1123033+1,1,
33,33,,,246073124608114+1123490+1,246073124608124+1123033+1,1,
33,33,,,246066524606655+1123492+1,246066524606655+1123077+1,1,
33,33,,,246068224606924+1123497+1,246068224606934+1123077+1,1,
33,33,,,246067924608125+1123498+1,246073124608125+1123077+1,1,
33,33,,,246067524606791+1123525+1,246067524606751+1123102+1,1,
33,33,,,246066824606722+1123539+1,246066824606712+1123112+1,1,
33,33,,,246069724607004+1123541+1,246069724607064+1123116+1,1,
33,33,,,246072524607282+1123541+1,246072524607272+1123116+1,1,
33,33,,,246069724606993+1123543+1,246069724607063+1123116+1,1,
33,33,,,246072524607272+1123543+1,246072524607272+1123116+1,1,
33,33,,,246073124608113+1123543+1,246073124608113+1123116+1,1,
33,33,,,246070324607203+1123544+1,246071024607203+1123116+1,1,
33,33,,,246066524606655+1123548+1,246066524606655+1123118+1,1,
33,33,,,246067524606751+1123551+1,246067524606751+1123121+1,1,
33,33,,,246072524607272+1123553+1,246072524607272+1123123+1,1,
33,33,,,246069724607062+1123555+1,246070324607202+1123125+1,1,
33,33,,,246069724607064+1123555+1,246070324607204+1123125+1,1,
33,33,,,246066824606711+1123563+1,246066824606711+1123145+1,1,
33,33,,,246068224606921+1123567+1,246068224606921+1123149+1,1,
33,33,,,246071024607201+1123567+1,246070324607201+1123149+1,1,
33,33,,,246072524607274+1123567+1,246072524607274+1123149+1,1,
33,33,,,246073124608111+1123567+1,246073124608111+1123149+1,1,
